original_dir,d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Private
duplicate_dir,d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Google Drive\Private

files_indexed_dir1,407
dirs_indexed_dir1,127
index_errors_dir1,0
index_duration_dir1,0:00:00.3

files_indexed_dir2,243
dirs_indexed_dir2,81
index_errors_dir2,0
index_duration_dir2,0:00:00.2

compare_duration,0:00:00.0
total_duration,0:00:00.6

duplicate_files_found,243
duplicate_size_bytes,"299,356,664"

original_path,duplicate_path,size_bytes,hash
"d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Private\Travel\Germany\Germany 2010\Berlin, Potsdam, Drezden, Nurnberg, Mannheim to Frankfurt, Germany.gmap","d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Google Drive\Private\Travel\Germany\Germany 2010\Berlin, Potsdam, Drezden, Nurnberg, Mannheim to Frankfurt, Germany.gmap",162,0f571a554a19143356f9818830163ec1ac493edf4956fdee7f04368404d7d7a1
d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Private\Travel\Germany\Germany 2010\Nurnberg - Stuttgart - Mannheim.gmap,d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Google Drive\Private\Travel\Germany\Germany 2010\Nurnberg - Stuttgart - Mannheim.gmap,162,1eeb6a52ad709ac305f08b91816f2edadc434873ed5d0266ac123af6c9a63363
"d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Private\Travel\Ski\St. Anton 2011\Directions to 47.142242,10.300626.gmap","d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Google Drive\Private\Travel\Ski\St. Anton 2011\Directions to 47.142242,10.300626.gmap",162,6be06ee4efa92c1c908f324da215a39af2e5a0bcc465eb63596c7c6db365fafc
d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Private\Travel\Yacht\Croatia\Croatia 2013\Croatia 2013 - Day 5 - 7.gmap,d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Google Drive\Private\Travel\Yacht\Croatia\Croatia 2013\Croatia 2013 - Day 5 - 7.gmap,162,84b6925fbf749ce9a61dd7e6b5eee9c9fae868667d991f96d8baf8d794bd96fe
d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Private\Juliana\Family Court\פרידה\adv. Victoria\44606-05-25 - מזונות ילדים\~$16_כתב הגנה מזונות - מתוקן.docx,d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Google Drive\Private\Juliana\Family Court\פרידה\adv. Bella Zur\44606-05-25 - מזונות ילדים\~$16_כתב הגנה מזונות - מתוקן.docx,162,9f46fc5b856006073c55333def5ea36f0a986ad7ae30d6d51aa398780e5d674f
d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Private\Juliana\Family Court\פרידה\adv. Victoria\44593-05-25 - אחריות הורית וזמני שהות\~$ 10 - מתוקן.docx,d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Google Drive\Private\Juliana\Family Court\פרידה\adv. Bella Zur\44593-05-25 - אחריות הורית וזמני שהות\~$ 10 - מתוקן.docx,162,c2de20f73c7098341cb297a590cab92f3aa7b40a54690db69d8b00c2bed840c1
d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Private\Juliana\Family Court\פרידה\adv. Victoria\44593-05-25 - אחריות הורית וזמני שהות\~$ 10 - מתוקן.docx,d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Google Drive\Private\Juliana\Family Court\פרידה\adv. Bella Zur\44593-05-25 - אחריות הורית וזמני שהות\~$ב הגנה -  fixed chatgpt.docx,162,c2de20f73c7098341cb297a590cab92f3aa7b40a54690db69d8b00c2bed840c1
d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Private\Travel\Germany\Germany 2010\Frakfurt to Berlin.gmap,d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Google Drive\Private\Travel\Germany\Germany 2010\Frakfurt to Berlin.gmap,162,d94b1f6f01a1938d62ba9bf6b5af1830002dbef9380e5382d4f37141a3ce80be
d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Private\Travel\Yacht\Croatia\Croatia 2013\Croatia 2103 - Day 2 - 4.gmap,d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Google Drive\Private\Travel\Yacht\Croatia\Croatia 2013\Croatia 2103 - Day 2 - 4.gmap,162,ecf6c81a2fb56f3ab42f36c465b73ba1a3ce01e4d3a1b2fe85e8bcfe2b2b531e
d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Private\Insurance\NICE - Madanes\Health Insurance\Menora\~$השוואה בין נייס לבין הראל פרט.xlsx,d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Google Drive\Private\Insurance\NICE - Madanes\Health Insurance\Menora\~$השוואה בין נייס לבין הראל פרט.xlsx,165,d3e32419ee039a603b993f5f8fcc64510ad5b730629460514db92c802d8b65c1
d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Private\Juliana\Family Court\45503-11-22 - תביעת אבהות\14b27b21-4d28-4b91-b8b0-f341c076e7b5.sgn.cer,d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Google Drive\Private\Juliana\Family Court\45503-11-22 - תביעת אבהות\14b27b21-4d28-4b91-b8b0-f341c076e7b5.sgn.cer,553,98e27cdecfea45b9b8309962588f835c65a31d8849fa56c9001a79c3706852e7
d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Private\Travel\Yacht\Greece\Greece 2016\splitwise export.csv,d:\CloudSpace\vladimir.patt@gmail.com\Google Drive\Google Drive\Private\Travel\Yacht\Greece\Greece 2016\splitwise export.csv,603,22bfa10bd908a55cfacf6046147bf7bbc098c27b9e32d76823e256786ae1465d
